city,name,rating,review_count,categories
Denver,Platt Park Brewing,4.0,176,Breweries
Denver,Denver Beer Co,4.0,679,Breweries
Denver,Denver Beer Co,4.0,679,Venues & Event Spaces
Denver,Great Frontier Brewing Company,4.0,53,Breweries
Denver,Spice Trade Brewing,4.0,9,"Beer, Wine & Spirits"
Denver,Spice Trade Brewing,4.0,9,Breweries
Denver,Redgarden Restaurant And Brewery,4.0,66,Breweries
Denver,Redgarden Restaurant And Brewery,4.0,66,American (Traditional)
Denver,Redgarden Restaurant And Brewery,4.0,66,Soup
Denver,Blue Spruce Brewing - Littleton,4.0,58,Breweries
Denver,The Post Chicken & Beer,4.0,277,Breweries
Denver,The Post Chicken & Beer,4.0,277,Chicken Shop
Denver,The Post Chicken & Beer,4.0,277,American (New)
Denver,Resolute Brewing Tap & Cellar,4.0,24,Breweries
Denver,Long Table Brewhouse,4.0,77,Breweries
Denver,Twisted Pine Brewing Company,4.0,348,Breweries
Denver,Twisted Pine Brewing Company,4.0,348,American (Traditional)
Denver,Elevated Seltzer,4.0,54,Brewpubs
Denver,Prost Brewing Co & Biergarten - Highlands Ranch,4.0,96,Beer Gardens
Denver,Prost Brewing Co & Biergarten - Highlands Ranch,4.0,96,Breweries
Denver,Mountain Toad Brewing,4.0,234,Breweries
Denver,Joyride Brewing,4.0,271,Breweries
Denver,Joyride Brewing,4.0,271,Beer Gardens
Denver,Joyride Brewing,4.0,271,Beer Bar
Denver,Denver Beer Co Olde Town Arvada,4.0,123,Breweries
Denver,Breckenridge Brewery,4.0,305,Breweries
Denver,Spice Trade Brewery & Kitchen,4.0,205,Brewpubs
Denver,Prost Brewing,4.0,364,Breweries
Denver,Prost Brewing,4.0,364,Beer Gardens
Denver,Prost Brewing,4.0,364,German
Denver,Dry Dock Brewing - North Dock,4.0,43,Breweries
Denver,Dry Dock Brewing - North Dock,4.0,43,Venues & Event Spaces
Denver,The Grateful Gnome Sandwich Shoppe & Brewery,4.0,214,Breweries
Denver,The Grateful Gnome Sandwich Shoppe & Brewery,4.0,214,Sandwiches
Denver,The Grateful Gnome Sandwich Shoppe & Brewery,4.0,214,Delis
Denver,The Post Chicken & Beer,4.0,810,Breweries
Denver,The Post Chicken & Beer,4.0,810,American (New)
Denver,The Post Chicken & Beer,4.0,810,Chicken Shop
Denver,Bull & Bush,4.0,927,American (Traditional)
Denver,Bull & Bush,4.0,927,Breweries
Denver,Bull & Bush,4.0,927,Pubs
