categories,name,rating,review_count,location,coordinates,city
"['Karaoke', 'Bars', 'Korean']",Kpop Karaoke,5.0,5,"{'address1': '14906 Northern Blvd', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '11354', 'country': 'US', 'state': 'NY', 'display_address': ['14906 Northern Blvd', 'New York, NY 11354']}","{'latitude': 40.765089, 'longitude': -73.816945}",NewYork
"['Breakfast & Brunch', 'American (Traditional)', 'Cocktail Bars']",Nova Kitchen,5.0,50,"{'address1': '580 NY-303', 'address2': 'Ste 7', 'address3': '', 'city': 'Blauvelt', 'zip_code': '10913', 'country': 'US', 'state': 'NY', 'display_address': ['580 NY-303', 'Ste 7', 'Blauvelt, NY 10913']}","{'latitude': 41.0625632255644, 'longitude': -73.9500345}",NewYork
"['Cocktail Bars', 'Whiskey Bars']",The Moonlight Mile,5.0,90,"{'address1': '200 Franklin St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11222', 'country': 'US', 'state': 'NY', 'display_address': ['200 Franklin St', 'Brooklyn, NY 11222']}","{'latitude': 40.7321141, 'longitude': -73.9578424}",NewYork
"['Mexican', 'Beer Bar']",Xime Deli,5.0,5,"{'address1': '448 E 138th St', 'address2': None, 'address3': None, 'city': 'The Bronx', 'zip_code': '10454', 'country': 'US', 'state': 'NY', 'display_address': ['448 E 138th St', 'The Bronx, NY 10454']}","{'latitude': 40.808248, 'longitude': -73.921432}",NewYork
['Sports Bars'],Mazzys,5.0,5,"{'address1': '559 Gramatan Ave', 'address2': '', 'address3': '', 'city': 'Mount Vernon', 'zip_code': '10552', 'country': 'US', 'state': 'NY', 'display_address': ['559 Gramatan Ave', 'Mount Vernon, NY 10552']}","{'latitude': 40.92556, 'longitude': -73.83561}",NewYork
['Bars'],The Upside,5.0,5,"{'address1': '588 Amsterdam Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10024', 'country': 'US', 'state': 'NY', 'display_address': ['588 Amsterdam Ave', 'New York, NY 10024']}","{'latitude': 40.789467640714406, 'longitude': -73.97411}",NewYork
['Beer Bar'],The Hoptimist,5.0,15,"{'address1': '422 Amsterdam Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10024', 'country': 'US', 'state': 'NY', 'display_address': ['422 Amsterdam Ave', 'New York, NY 10024']}","{'latitude': 40.784068824638176, 'longitude': -73.97788119467435}",NewYork
"['Wine Bars', 'Lounges', 'Cocktail Bars']",The Good Good,5.0,5,"{'address1': '1694 Park Ave', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10035', 'country': 'US', 'state': 'NY', 'display_address': ['1694 Park Ave', 'New York, NY 10035']}","{'latitude': 40.801282, 'longitude': -73.942263}",NewYork
"['Bars', 'Himalayan/Nepalese']",Kasthamandap,5.0,10,"{'address1': '65-14 Roosevelt Ave', 'address2': '', 'address3': None, 'city': 'Woodside', 'zip_code': '11377', 'country': 'US', 'state': 'NY', 'display_address': ['65-14 Roosevelt Ave', 'Woodside, NY 11377']}","{'latitude': 40.74599919361025, 'longitude': -73.89844452975395}",NewYork
"['Bars', 'Music Venues', 'Venues & Event Spaces']",Purgatory,5.0,5,"{'address1': '675 Central Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '11207', 'country': 'US', 'state': 'NY', 'display_address': ['675 Central Ave', 'New York, NY 11207']}","{'latitude': 40.687223, 'longitude': -73.905736}",NewYork
['Irish Pub'],Hartley's,5.0,69,"{'address1': '14 Putnam Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11238', 'country': 'US', 'state': 'NY', 'display_address': ['14 Putnam Ave', 'Brooklyn, NY 11238']}","{'latitude': 40.6825984, 'longitude': -73.9613433}",NewYork
['Beer Bar'],BierWax,5.0,128,"{'address1': '556 Vanderbilt Ave', 'address2': None, 'address3': None, 'city': 'Brooklyn', 'zip_code': '11238', 'country': 'US', 'state': 'NY', 'display_address': ['556 Vanderbilt Ave', 'Brooklyn, NY 11238']}","{'latitude': 40.6800201748959, 'longitude': -73.9682761207223}",NewYork
"['Breakfast & Brunch', 'Cocktail Bars', 'American (New)']",Silver Light Tavern,5.0,105,"{'address1': '689 Lorimer St', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11211', 'country': 'US', 'state': 'NY', 'display_address': ['689 Lorimer St', 'Brooklyn, NY 11211']}","{'latitude': 40.71747, 'longitude': -73.95005}",NewYork
"['Cocktail Bars', 'Mediterranean', 'Burgers']",WarrenPeace,5.0,19,"{'address1': '77 Warren St', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10007', 'country': 'US', 'state': 'NY', 'display_address': ['77 Warren St', 'New York, NY 10007']}","{'latitude': 40.715022, 'longitude': -74.010284}",NewYork
