city,name,rating,review_count,categories,categories_encoded
Denver,Berkeley Alley Beer,4.5,138,Breweries,96
Denver,Mountain Sun Pub & Brewery,4.5,1657,Pubs,469
Denver,Mountain Sun Pub & Brewery,4.5,1657,Burgers,104
Denver,Mountain Sun Pub & Brewery,4.5,1657,Breweries,96
Denver,Copper Kettle Brewing,4.5,256,Breweries,96
Denver,Kodiac Brewery,4.5,21,Brewpubs,98
Denver,12 Degree Brewing,4.5,194,Pizza,444
Denver,12 Degree Brewing,4.5,194,Brewpubs,98
Denver,Dry Dock Brewing,4.5,428,Breweries,96
Denver,Dry Dock Brewing,4.5,428,Venues & Event Spaces,605
Denver,Locavore Beer Works,4.5,185,Breweries,96
Denver,The Old Mine,4.5,195,Cideries,146
Denver,The Old Mine,4.5,195,Brewpubs,98
Denver,The Old Mine,4.5,195,American (Traditional),16
Denver,Landlocked Ales,4.5,52,Breweries,96
Denver,Banded Oak Brewing Company,4.5,77,Breweries,96
Denver,Banded Oak Brewing Company,4.5,77,Beer Bar,67
Denver,Vision Quest Brewery,4.5,46,Breweries,96
Denver,Westbound & Down Mill,4.5,13,Brewpubs,98
Denver,Westbound & Down Mill,4.5,13,American (Traditional),16
Denver,Baere Brewing Company,4.5,136,Breweries,96
Denver,Upslope Brewing Company - Flatiron Park,4.5,116,Breweries,96
Denver,Barquentine Brewing Company,4.5,40,Breweries,96
Denver,Barquentine Brewing Company,4.5,40,Beer Bar,67
Denver,Barquentine Brewing Company,4.5,40,Beer Gardens,68
Denver,Resolute Brewing,4.5,181,Beer Gardens,68
Denver,Resolute Brewing,4.5,181,Breweries,96
Denver,Resolute Brewing,4.5,181,Beer Bar,67
Denver,Lowdown Brewery + Kitchen,4.5,562,Breweries,96
Denver,Lowdown Brewery + Kitchen,4.5,562,American (New),15
Denver,Lowdown Brewery + Kitchen,4.5,562,Pizza,444
Denver,Call To Arms Brewing Company,4.5,119,Breweries,96
Denver,Denver Beer Co South Downing,4.5,54,Breweries,96
Denver,Denver Beer Co South Downing,4.5,54,American (New),15
Denver,Briar Common Brewery + Eatery,4.5,506,American (New),15
Denver,Briar Common Brewery + Eatery,4.5,506,Breweries,96
Denver,Briar Common Brewery + Eatery,4.5,506,Venues & Event Spaces,605
Denver,Big Choice Brewing,4.5,115,Breweries,96
Denver,Big Choice Brewing,4.5,115,Pizza,444
Denver,Sunroom Brewing,4.5,12,Breweries,96
Denver,Diebolt Brewing Company,4.5,115,Breweries,96
Denver,4 Noses Brewing Company,4.5,289,Breweries,96
Denver,Oasis Brewing Company,4.5,64,Brewpubs,98
Denver,Oasis Brewing Company,4.5,64,Beer Gardens,68
Denver,Oasis Brewing Company,4.5,64,Beer Bar,67
Denver,Odyssey Beerwerks Brewery & Taproom,4.5,128,Breweries,96
Denver,Odyssey Beerwerks Brewery & Taproom,4.5,128,Beer Bar,67
Denver,Station 26 Brewing,4.5,391,Breweries,96
Denver,Ratio Beerworks,4.5,319,Breweries,96
Denver,Ratio Beerworks,4.5,319,Beer Bar,67
Denver,Grandma's House,4.5,222,Breweries,96
Denver,Grandma's House,4.5,222,Venues & Event Spaces,605
Denver,Liquid Mechanics Brewing,4.5,107,Breweries,96
Denver,Liquid Mechanics Brewing,4.5,107,Venues & Event Spaces,605
Denver,Liquid Mechanics Brewing,4.5,107,Beer Gardens,68
Denver,Green Mountain Beer Company,4.5,141,Breweries,96
Denver,Green Mountain Beer Company,4.5,141,Food Trucks,236
