city,name,rating,review_count,categories,location,latitude,longitude
Denver,ELEMENT Home,5.0,34,Furniture Stores,"{'address1': '3030 E 2nd Ave', 'address2': None, 'address3': '', 'city': 'Denver', 'zip_code': '80206', 'country': 'US', 'state': 'CO', 'display_address': ['3030 E 2nd Ave', 'Denver, CO 80206']}",39.7476609,-104.9990796
Denver,Eron Johnson Antiques,5.0,9,Furniture Stores,"{'address1': '377 South Lipan St', 'address2': 'Unit B', 'address3': '', 'city': 'Denver', 'zip_code': '80223', 'country': 'US', 'state': 'CO', 'display_address': ['377 South Lipan St', 'Unit B', 'Denver, CO 80223']}",39.7090481284142,-105.00174164351655
Denver,Channel 3 Retro Gaming Center,5.0,17,Video Game Stores,"{'address1': '8410 W Colfax Ave', 'address2': '', 'address3': None, 'city': 'Lakewood', 'zip_code': '80215', 'country': 'US', 'state': 'CO', 'display_address': ['8410 W Colfax Ave', 'Lakewood, CO 80215']}",39.7398872,-105.0914884
Denver,Jackalope Arts,5.0,8,Local Flavor,"{'address1': '5738 Olde Wadsworth Blvd', 'address2': '', 'address3': '', 'city': 'Arvada', 'zip_code': '80002', 'country': 'US', 'state': 'CO', 'display_address': ['5738 Olde Wadsworth Blvd', 'Arvada, CO 80002']}",39.800724136818026,-105.08124974830933
Denver,Mhor RC Raceway,4.5,11,Hobby Shops,"{'address1': '15540 E Batavia Dr', 'address2': '', 'address3': '', 'city': 'Aurora', 'zip_code': '80011', 'country': 'US', 'state': 'CO', 'display_address': ['15540 E Batavia Dr', 'Aurora, CO 80011']}",39.74219,-104.8074199
Denver,Mid-Mod Mall,4.5,51,Furniture Stores,"{'address1': '4325 Wadsworth Blvd', 'address2': '', 'address3': None, 'city': 'Denver', 'zip_code': '80033', 'country': 'US', 'state': 'CO', 'display_address': ['4325 Wadsworth Blvd', 'Denver, CO 80033']}",39.77555,-105.08248
Denver,For Heaven's Sake Metaphysical Store - Denver,4.5,56,Gemstones & Minerals,"{'address1': '4900 W 46th Ave', 'address2': '', 'address3': '', 'city': 'Denver', 'zip_code': '80212', 'country': 'US', 'state': 'CO', 'display_address': ['4900 W 46th Ave', 'Denver, CO 80212']}",39.78001,-105.05009
Denver,Red Herring Art & Supply,5.0,3,"Used, Vintage & Consignment","{'address1': '6501 W Colfax Ave', 'address2': 'Studio F', 'address3': '', 'city': 'Lakewood', 'zip_code': '80214', 'country': 'US', 'state': 'CO', 'display_address': ['6501 W Colfax Ave', 'Studio F', 'Lakewood, CO 80214']}",39.740750174872936,-105.06845313022818
Denver,Divine Bodies Healing Arts,5.0,3,Reflexology,"{'address1': '8725-C Wadsworth Blvd', 'address2': None, 'address3': '', 'city': 'Arvada', 'zip_code': '80003', 'country': 'US', 'state': 'CO', 'display_address': ['8725-C Wadsworth Blvd', 'Arvada, CO 80003']}",39.854237,-105.0829941
Denver,Lone Creek Farms,4.5,18,Pumpkin Patches,"{'address1': '3879 N State Hwy 83', 'address2': None, 'address3': '', 'city': 'Franktown', 'zip_code': '80116', 'country': 'US', 'state': 'CO', 'display_address': ['3879 N State Hwy 83', 'Franktown, CO 80116']}",39.419257129480975,-104.76334003787545
