categories,name,rating,review_count,location,coordinates,city
['Breweries'],Mockery Brewing,4.5,216,"{'address1': '3501 Delgany St', 'address2': '', 'address3': '', 'city': 'Denver', 'zip_code': '80216', 'country': 'US', 'state': 'CO', 'display_address': ['3501 Delgany St', 'Denver, CO 80216']}","{'latitude': 39.771191, 'longitude': -104.979773}",Denver
"['Barbeque', 'Breweries']",Six Capital Brewing & BBQ,4.5,75,"{'address1': '16701 E Iliff Ave', 'address2': 'Ste B', 'address3': None, 'city': 'Aurora', 'zip_code': '80013', 'country': 'US', 'state': 'CO', 'display_address': ['16701 E Iliff Ave', 'Ste B', 'Aurora, CO 80013']}","{'latitude': 39.67427961479788, 'longitude': -104.7937856067469}",Denver
"['Breweries', 'Food Trucks']",Iron Mule Brewery,4.5,43,"{'address1': '514 N Perry St', 'address2': 'C106', 'address3': None, 'city': 'Castle Rock', 'zip_code': '80104', 'country': 'US', 'state': 'CO', 'display_address': ['514 N Perry St', 'C106', 'Castle Rock, CO 80104']}","{'latitude': 39.374965510741625, 'longitude': -104.8583896674873}",Denver
['Breweries'],Rails End Beer Company,4.5,140,"{'address1': '11625 Reed Ct', 'address2': 'Unit B', 'address3': None, 'city': 'Broomfield', 'zip_code': '80020', 'country': 'US', 'state': 'CO', 'display_address': ['11625 Reed Ct', 'Unit B', 'Broomfield, CO 80020']}","{'latitude': 39.9083270409931, 'longitude': -105.07525666667}",Denver
['Breweries'],Second Dawn Brewing,4.5,6,"{'address1': '2302 Dayton St', 'address2': '', 'address3': None, 'city': 'Aurora', 'zip_code': '80010', 'country': 'US', 'state': 'CO', 'display_address': ['2302 Dayton St', 'Aurora, CO 80010']}","{'latitude': 39.751476594224435, 'longitude': -104.8749688}",Denver
"['Beer Bar', 'Brewpubs']",Comet Brews,4.5,14,"{'address1': '5642 S Sycamore St', 'address2': '', 'address3': None, 'city': 'Littleton', 'zip_code': '80120', 'country': 'US', 'state': 'CO', 'display_address': ['5642 S Sycamore St', 'Littleton, CO 80120']}","{'latitude': 39.61447103578241, 'longitude': -105.0148286966184}",Denver
['Breweries'],Odell Brewing Co - Five Points Brewhouse,4.5,116,"{'address1': '2945 Larimer St', 'address2': '', 'address3': None, 'city': 'Denver', 'zip_code': '80205', 'country': 'US', 'state': 'CO', 'display_address': ['2945 Larimer St', 'Denver, CO 80205']}","{'latitude': 39.76214601919595, 'longitude': -104.98091354227502}",Denver
"['Breweries', 'Barbeque', 'American (Traditional)']",Avery Brewing,4.5,1111,"{'address1': '4910 Nautilus Ct N', 'address2': '', 'address3': '', 'city': 'Boulder', 'zip_code': '80301', 'country': 'US', 'state': 'CO', 'display_address': ['4910 Nautilus Ct N', 'Boulder, CO 80301']}","{'latitude': 40.062575, 'longitude': -105.204776}",Denver
"['Breweries', 'Beer Bar']",Cheluna Brewing Co.,4.5,140,"{'address1': '2501 Dallas St', 'address2': '', 'address3': None, 'city': 'Aurora', 'zip_code': '80010', 'country': 'US', 'state': 'CO', 'display_address': ['2501 Dallas St', 'Aurora, CO 80010']}","{'latitude': 39.75223, 'longitude': -104.87738}",Denver
"['Pubs', 'Sports Bars', 'Brewpubs']",Congress Park Taproom,4.5,63,"{'address1': '833 Colorado Blvd', 'address2': None, 'address3': '', 'city': 'Denver', 'zip_code': '80206', 'country': 'US', 'state': 'CO', 'display_address': ['833 Colorado Blvd', 'Denver, CO 80206']}","{'latitude': 39.72984, 'longitude': -104.94107}",Denver
['Breweries'],Barrels & Bottles Brewery,4.5,202,"{'address1': '600 12th St', 'address2': 'Ste 180', 'address3': '', 'city': 'Golden', 'zip_code': '80401', 'country': 'US', 'state': 'CO', 'display_address': ['600 12th St', 'Ste 180', 'Golden, CO 80401']}","{'latitude': 39.756512, 'longitude': -105.219641}",Denver
['Breweries'],Beyond the Mountain Brewing,4.5,28,"{'address1': '6035 Longbow Dr', 'address2': 'Unit 9', 'address3': '', 'city': 'Boulder', 'zip_code': '80301', 'country': 'US', 'state': 'CO', 'display_address': ['6035 Longbow Dr', 'Unit 9', 'Boulder, CO 80301']}","{'latitude': 40.064636, 'longitude': -105.214652}",Denver
"['Breweries', 'Beer Bar']",New Image Brewing - Wheat Ridge,4.5,13,"{'address1': '9505 W 44th Ave', 'address2': '', 'address3': None, 'city': 'Wheat Ridge', 'zip_code': '80033', 'country': 'US', 'state': 'CO', 'display_address': ['9505 W 44th Ave', 'Wheat Ridge, CO 80033']}","{'latitude': 39.77878, 'longitude': -105.10405}",Denver
"['Breweries', 'Latin American', 'Tacos']",Mestizo Brew Cantina,4.5,13,"{'address1': '6800 W 38th Ave', 'address2': '', 'address3': None, 'city': 'Wheat Ridge', 'zip_code': '80033', 'country': 'US', 'state': 'CO', 'display_address': ['6800 W 38th Ave', 'Wheat Ridge, CO 80033']}","{'latitude': 39.769144, 'longitude': -105.072461}",Denver
